"Sample.Name","done_box_number","Tube_number","Plate.Name","Well","dilution.H2O","dilution.sample"
"19A0187",4,11,"SC_RNA_05","C01",7,13
"19A0402",6,24,"SC_RNA_05","C02",16,4
"19A0188",5,14,"SC_RNA_05","C03",12,8
"19A0455",2,13,"SC_RNA_05","C04",17,3
"19A0030",2,2,"SC_RNA_05","C05",16,4
"19A0073",1,20,"SC_RNA_05","C06",18,2
"19A0011",4,9,"SC_RNA_05","C07",16,4
"19A0451",4,9,"SC_RNA_05","C08",15,5
"19A0363",7,18,"SC_RNA_05","C09",15,5
"19A0167",1,9,"SC_RNA_05","D01",18,2
"19A0391",4,23,"SC_RNA_05","D02",14,6
"19A0017",5,8,"SC_RNA_05","D03",14,6
"19A0217",4,19,"SC_RNA_05","D04",14,6
"19A0260",6,13,"SC_RNA_05","D05",14,6
"19A0436",6,19,"SC_RNA_05","D06",12,8
"19A0308",1,3,"SC_RNA_05","D07",18,2
"19A0120",6,9,"SC_RNA_05","D08",15,5
"19A0377",4,20,"SC_RNA_05","D09",15,5
"19A0019",4,8,"SC_RNA_05","E01",17,3
"19A0071",3,18,"SC_RNA_05","E02",13,7
"19A0373",5,5,"SC_RNA_05","E03",15,5
"19A0214",4,14,"SC_RNA_05","E04",15,5
"19A0038",6,16,"SC_RNA_05","E05",15,5
"19A0282",6,22,"SC_RNA_05","E06",10,10
"19A0001",1,10,"SC_RNA_05","E07",18,2
"19A0130",3,17,"SC_RNA_05","E08",14,6
"19A0097",5,11,"SC_RNA_05","E09",16,4
"19A0424",2,18,"SC_RNA_05","F01",12,8
"19A0045",1,15,"SC_RNA_05","F02",18,2
"19A0383",7,12,"SC_RNA_05","F03",7,13
"19A0285",6,19,"SC_RNA_05","F04",14,6
"19A0324",2,4,"SC_RNA_05","F05",9,11
"19A0460",2,18,"SC_RNA_05","F06",17,3
"19A0307",6,22,"SC_RNA_05","F07",15,5
"19A0429",6,10,"SC_RNA_05","F08",13,7
"19A0385",1,12,"SC_RNA_05","F09",18,2
"19A0140",5,5,"SC_RNA_05","G01",9,11
"19A0452",2,3,"SC_RNA_05","G02",12,8
"19A0145",5,10,"SC_RNA_05","G03",16,4
"BLANK",NA,NA,"SC_RNA_05","G04",NA,NA
"19A0043",5,22,"SC_RNA_05","G05",16,4
"19A0208",6,23,"SC_RNA_05","G06",16,4
"19A0396",6,24,"SC_RNA_05","G07",12,8
"19A0166",2,7,"SC_RNA_05","G08",11,9
"19A0417",3,3,"SC_RNA_05","G09",13,7
"19A0003",1,8,"SC_RNA_05","H01",15,5
"19A0362",7,14,"SC_RNA_05","H02",14,6
"19A0351",1,19,"SC_RNA_05","H03",15,5
"Pos_Control",NA,NA,"SC_RNA_05","H04",NA,NA
"19A0155",6,1,"SC_RNA_05","H05",14,6
"19A0338",5,21,"SC_RNA_05","H06",13,7
"19A0459",7,18,"SC_RNA_05","H07",15,5
"Pos_Control",NA,NA,"SC_RNA_05","H08",NA,NA
"19A0416",4,14,"SC_RNA_05","H09",9,11
