Year	Plot	Geno	Rep	Superblock	Block	Row	Col	Check	new	C	Anthesis	Silking	Planting	da	ds	a_s	GDD_a	GDD_s
2015	15A0193	IL21f	1	2	4	36	12	99	1	Panel	8/5/15	8/6/15	5/29/15	68	69	-1	1859	1874
2015	15A0194	83612b	1	2	4	36	11	99	1	Panel	8/5/15	8/4/15	5/29/15	68	67	1	1859	1842
2015	15A0195	P39xRp1d	1	2	4	35	12	99	1	Panel	8/1/15	8/1/15	5/29/15	64	64	0	1780	1780
2015	15A0196	Ma5125	1	2	4	35	11	99	1	Panel	8/4/15	8/4/15	5/29/15	67	67	0	1842	1842
2015	15A0197	IL661a	1	2	4	34	12	99	1	Panel	8/5/15	8/6/15	5/29/15	68	69	-1	1859	1874
2015	15A0198	Wh00065	1	2	4	34	11	99	1	Panel	8/9/15	8/9/15	5/29/15	72	72	0	1920	1920
2015	15A0199	Check3	1	2	5	34	10	3	0	Check	8/5/15	8/6/15	5/29/15	68	69	-1	1859	1874
2015	15A0200	FILL	1	2	5	34	9	99	1	Check	7/25/15	7/24/15	5/29/15	57	56	1	1614	1594
2015	15A0201	FILL	1	2	5	35	10	99	1	Check	7/25/15	7/24/15	5/29/15	57	56	1	1614	1594
2015	15A0202	Wu00802	1	2	5	35	9	99	1	Panel	8/14/15	8/15/15	5/29/15	77	78	-1	2018	2043
2015	15A0203	IL393a	1	2	5	36	10	99	1	Panel	8/14/15	8/14/15	5/29/15	77	77	0	2018	2018
2015	15A0204	Wu00801	1	2	5	36	9	99	1	Panel	8/12/15	8/15/15	5/29/15	75	78	-3	1979	2043
2015	15A0205	Check2	1	2	5	37	10	2	0	Check	8/9/15	8/9/15	5/29/15	72	72	0	1920	1920
2015	15A0206	R825	1	2	5	37	9	99	1	Panel	8/10/15	8/10/15	5/29/15	73	73	0	1942	1942
2015	15A0207	SD592	1	2	5	38	10	99	1	Panel	7/28/15	7/29/15	5/29/15	60	61	-1	1686	1711
2015	15A0208	IL773a	1	2	5	38	9	99	1	Panel	8/12/15	8/14/15	5/29/15	75	77	-2	1979	2018
2015	15A0209	IL442a	1	2	5	39	10	99	1	Panel	8/15/15	8/17/15	5/29/15	78	80	-2	2043	2092
2015	15A0210	MDM-1	1	2	5	39	9	99	1	Panel	8/9/15	8/10/15	5/29/15	72	73	-1	1920	1942
2015	15A0211	MDM-18	1	2	5	40	10	99	1	Panel	8/10/15	8/13/15	5/29/15	73	76	-3	1942	1994
2015	15A0212	Ia2132	1	2	5	40	9	99	1	Panel	8/11/15	8/10/15	5/29/15	74	73	1	1963	1942
2015	15A0213	Wuh09144i	1	2	5	41	10	99	1	Panel	8/9/15	8/15/15	5/29/15	72	78	-6	1920	2043
2015	15A0214	Wuh09188i	1	2	5	41	9	99	1	Panel	8/1/15	8/4/15	5/29/15	64	67	-3	1780	1842
2015	15A0215	P39Goodman-Buckler	1	2	5	42	10	99	1	Panel	8/3/15	8/5/15	5/29/15	66	68	-2	1824	1859
2015	15A0216	B5765	1	2	5	42	9	99	1	Panel	8/10/15	8/15/15	5/29/15	73	78	-5	1942	2043
2015	15A0217	M6411	1	2	5	43	10	99	1	Panel	8/4/15	8/6/15	5/29/15	67	69	-2	1842	1874
2015	15A0218	R839	1	2	5	43	9	99	1	Panel	8/7/15	8/11/15	5/29/15	70	74	-4	1889	1963
2015	15A0219	IaEV3015	1	2	5	44	10	99	1	Panel	8/9/15	8/9/15	5/29/15	72	72	0	1920	1920
2015	15A0220	FILL	1	2	5	44	9	99	1	Check	7/25/15	7/24/15	5/29/15	57	56	1	1614	1594
2015	15A0221	R851	1	2	6	45	10	99	1	Panel	8/12/15	8/14/15	5/29/15	75	77	-2	1979	2018
